clientSlug,id,title,description,videoSource,src,embedUrl,videoFile,poster,posterFile,order
"silver-dj","silver-dj-video-2","Extrait live 02","","local","/silver-dj/videos/videos-silverdj-2.mp4","","","/silver-dj/videos/videos-silverdj-2-poster.jpg","","1"
"silver-dj","silver-dj-video-3","Extrait live 03","","local","/silver-dj/videos/videos-silverdj-3.mp4","","","/silver-dj/videos/videos-silverdj-3-poster.jpg","","2"
"silver-dj","silver-dj-video-5","Extrait live 05","","local","/silver-dj/videos/videos-silverdj-5.mp4","","","/silver-dj/videos/videos-silverdj-5-poster.jpg","","3"
"silver-dj","silver-dj-video-6","Extrait live 06","","local","/silver-dj/videos/videos-silverdj-6.mp4","","","/silver-dj/videos/videos-silverdj-6-poster.jpg","","4"
"silver-dj","silver-dj-video-8","Extrait live 08","","local","/silver-dj/videos/videos-silverdj-8.mp4","","","/silver-dj/videos/videos-silverdj-8-poster.jpg","","5"
"silver-dj","silver-dj-video-9","Extrait live 09","","local","/silver-dj/videos/videos-silverdj-9.mp4","","","/silver-dj/videos/videos-silverdj-9-poster.jpg","","6"
"silver-dj","silver-dj-video-10","Extrait live 10","","local","/silver-dj/videos/videos-silverdj-10.mp4","","","/silver-dj/videos/videos-silverdj-10-poster.jpg","","7"
